City,Total invoice value
0,-899001.12
411046,532.6
 ,1773270.3
ADONI,189.0
Ahmedabad,8056.73
Ambur,98.01
Amravati,3270.96
BELMA VILLAGE,396.01
BENGALURU,-244.98000000000002
Bangalore,-96992.6
Bangaluru,778.0
Banglore,-5337.739999999999
Bengaluru,46104.659999999996
Bhimtaal,197.0
Bhiwandi,-8251.88
"CHAFEKAR CHOWK,CHINCHWADGAON",38258.55
Chennai,24255.66
Coimbatore,-198.98000000000002
Dattaguru,3299.59
Dehradun,98.01
Delhi,40483.579999999994
Dharwad,-325.0
Dhawapur Khasarwara,-4142.1
Faridabad,-1480.21
Gautam Buddha Nagar,-88.11
Ghaziabad,127699.93
Greater Noida,197.01999999999995
Gurgaon,-329709.61
Gurugram,33880.740000000005
Guwahati,3127.21
HARIDWAR,351.5
HISAR,-34063.03
Haldwani,255.0
Haridwar,370.0
Hooghly,-232.30999999999995
Hosapete,512.82
Howrah,46976.51
Hsiidc Sohna,-110.0
Hyderabad,28691.42
Imphal,325.0
Indore,3047.92
Jaipur,7139.43
Jamshedpur,2165.02
Jangipur,359.99
Jhajjar,51666.72
Jodhpur,-199.0
KOLKATA,957.39
Kinnaur,-309.0
Kolar,-24017.15
Kolkata,10095.46
LUCKNOW,13481.710000000001
Lucknow,5101.91
Ludhiana,738.0
MAHARASHTRA,180.0
MUMBAI,111690.44
Mahipalpur,-22220.75
Manendragarh,244.0
Manesar,-5418.0
Mewat,14604.25
Mumbai,9414.75
Nagpur,-5315.079999999999
Nandurbar,1450.2
Nashik,-11013.25
New Delhi,102970.98
New Timber Yard Layout,164614.36
Noida,11107.45
PUNE,-493.07000000000005
Palghar,252.44
Panaji,-587.9300000000001
Patiala,23961.35
Patna,157.41
Perinjanam,-177.21
Pimpri Chinchwad,147.51
Pune,12166.54
RAJODA,7243.65
Rajahmundry,-289.01
Rajkot,296.41
Rajnandgaon,477.99
SADAR BAZAR,719.99
SAHIBABAD PARGANA LONI TEHSIL,11710.89
SHANTHI NAGAR,296.02
SILIGURI,134597.5
SOUTH CITY,-2077.3200000000024
Santej,-519.0
Serampore,-2322.17
Sindhi Colony,-390.04
Sindhudurg,790.01
South Goa,-108.9
Sultanpur Road,8302.2
TELANGANA,192.0
Tadepalligudem,-189.01
Thane,28423.960000000003
Thiruvananthapuram,275.89
Thrissur,589.0
Tiruchirappalli,-199.0
Tiruppur,359.99
Tumakuru,38152.88
VISAKHAPATNAM,-285.01
"VPO Kharawar, Rohtak",1080.0
Vadodara,17635.5
Vasai Virar,592.02
Village Baprour,711.3
YESHWANTHPUR,-14008.76
"athappampalayam, vallipurathan",777.3999999999997
