City,Total invoice value
0,14310769.46
411046,1065.2
 ,28684701.31
0x17,278780.71
0x2a,2212026.96
ADILABAD,275.01
ADONI,189.0
AGARTALA,195.0
ALWARPET,279.0
AMBATTUR,375.21
AMRIK SINGH ROAD,385.11
AMRITSAR,106.0
ANDHERI E,216.81
ANDHERI EAST,1197.02
ANDHRA PRADESH,105.0
"ARASANKAZHANI, PERUMBAKAM",265.0
"ATHGAON,GUWAHATI",499758.81
ATTUR,149.01
Adilabad,235.0
Agra,220230.38999999998
Ahmedabad,4097184.61
Aligarh,775.02
Allahabad,2227.04
Ambala,199.0
Ambur,98.01
Amravati,40782.33
Amritsar,490.0
Anand,256.41
Andheri East,867.02
Angul,108.9
Anjar,256.41
Anjuna,429.0
Attingal,256.40999999999997
Aurangabad,1116.26
Auroville,6325.0
Australia,303264.0
Avittathur,449.0
BAILEY ROAD PATNA,1725.69
BANDRA WEST,994.27
BANGALORE,89667.64
BAVDHAN KHURD,778.0
BELGACHIA,719.99
BELMA VILLAGE,9798.3
BENGALURU,2982.6
BHAWANIPUR,106.02
BHERYA,149.0
BHILWARA,235.0
BHOPAL,4986.01
BHUBANESWAR,167313.94
BIDAR,769.24
BIDHANNAGAR,1734.04
BILASPUR,246.51
BORIVILI WEST,197.01
BYCULLA WEST,365.31
Badarpur,1483.01
Balasore,147.52
Ballabhgarh,84672.28
Bandra East,457.99
Bandra Kurla Complex,519.02
Bangalore,2109437.7
Bangaluru,2560.99
Banglore,289405.62
Banthra Shivpura,16569.59
Barabanki,187.16000000000003
Bareilly,631236.7
Barmer,262.35
Baruipur,118.8
Barwala,275.02
Beawar,883.01
Belagavi,890.01
Belgaum,216.81
Belur,1256.13
Benaulim,199.0
Bengaluru,10083214.15
Betul,684.0
Bhadohi,199.0
Bhagalpur,551.99
Bharuch,314.56
Bhav Nagar,127800.29
Bhavnagar,2126.4300000000003
Bhilai,1483.01
Bhilwara,359.99
Bhimavaram,197.01000000000002
Bhimtaal,394.0
Bhiwadi,229.0
Bhiwandi,1681630.68
Bhiwani,256.40999999999997
Bhopal,982154.35
Bhubaneswar,2705.8
Bijnor,103.45
Birur,235.0
Bulandshahr,296.02
"C-SCHEME, JAIPUR",105.0
"CHAFEKAR CHOWK,CHINCHWADGAON",2511668.3
CHALAI,92796.5
CHANDIGARH,849.99
CHENNAI,360764.09
CHINCHPOKLI PAREL,149.01
CHOWWARA,245.0
CIVIL LINES,3768.42
COIMBATORE,227.0
CUTTACK,1104.4
Calangute,189.05
Calicut,242865.91
Canada,2117869.57
Cantonment,199.0
Chakan Pune,256.41
Chalai,29381.82
Chalakudy,296.41
Chandausi,299.0
Chandigarh,17345.72
Chandrapur,1781.58
Chennai,2382086.19
Chhindwara,799.9
Chikballapur,223.26
Chikkamagaluru,228.98
Chittaurgarh,165.0
Chittoor,256.41
City Aurangabad M CORP,152290.8
Coimbatore,16393.16
Connaught Place,220.0
D.K.,28420.0
DALHOUSIE,341.9
DARYA GANJ,195.0
DELHI,828.0
DHANBAD,256.41
DHARMANAGAR,299.0
DLF Cyber City,9724.5
Dadhapatna,305.0
Dakshin Rajyadharpur,108.9
Dakshina Kannada,170700.1
